Loan_Number,AD_Tool,Appraisal_Dt,Auth_Price,Attached_Ind
275,LP,2/21/2007 12:00:00 AM,101.5,N
100258,DS,3/27/2007 12:00:00 AM,101,N
276,DS,1/29/2007 12:00:00 AM,100.75,N
100259,DS,01/12/2007 0:00,99.375,Y
100260,DS,12/14/2006 12:00:00 AM,100.25,N
100261,DS,12/21/2006 12:00:00 AM,100.25,N
277,DS,03/05/2007 0:00,99.75,Y
100262,DS,12/19/2006 12:00:00 AM,100.125,N
100263,DS,2/21/2007 12:00:00 AM,99.625,N
100264,DS,2/23/2007 12:00:00 AM,100.875,Y
278,DS,01/01/2000 0:00,99.75,N
100265,DS,1/26/2007 12:00:00 AM,100.25,N
100266,DS,1/20/2007 12:00:00 AM,98.625,N
100267,DS,02/02/2007 0:00,99.25,N
100268,DS,12/29/2006 12:00:00 AM,100,N
279,DS,10/18/2006 12:00:00 AM,100.25,N
100269,DS,,100.25,N
280,DS,2/21/2007 12:00:00 AM,101.375,N
100270,,,100.125,N
281,LP,03/08/2007 0:00,100.125,N
100271,LP,3/28/2007 12:00:00 AM,100.625,Y
282,DS,1/31/2007 12:00:00 AM,95.25,N
100272,DS,1/29/2007 12:00:00 AM,98.5,N
283,DS,1/29/2007 12:00:00 AM,96.875,N
100273,DS,11/02/2006 0:00,100.125,N
284,DS,02/05/2007 0:00,99.75,N
100274,DS,3/20/2007 12:00:00 AM,100.25,N
285,DS,02/12/2007 0:00,100.875,Y
100275,LP,2/21/2007 12:00:00 AM,101.5,N
286,DS,2/28/2007 12:00:00 AM,100.75,N
287,,,100.25,N
100276,DS,1/29/2007 12:00:00 AM,100.75,N
288,DS,02/07/2007 0:00,100.375,N
100277,DS,03/05/2007 0:00,99.75,Y
289,DS,1/29/2007 12:00:00 AM,100.125,N
100278,DS,01/01/2000 0:00,99.75,N
290,DS,2/20/2007 12:00:00 AM,99,N
100279,DS,10/18/2006 12:00:00 AM,100.25,N
291,,,100.25,N
100280,DS,2/21/2007 12:00:00 AM,101.375,N
292,DS,2/20/2007 12:00:00 AM,101.25,N
100281,LP,03/08/2007 0:00,100.125,N
293,DS,2/15/2007 12:00:00 AM,100.25,N
100282,DS,1/31/2007 12:00:00 AM,95.25,N
294,DS,2/27/2007 12:00:00 AM,101,N
100283,DS,1/29/2007 12:00:00 AM,96.875,N
295,DS,2/19/2007 12:00:00 AM,100.75,N
100284,DS,02/05/2007 0:00,99.75,N
296,DS,03/08/2007 0:00,95.875,Y
100285,DS,02/12/2007 0:00,100.875,Y
297,LP,2/26/2007 12:00:00 AM,101,N
100286,DS,2/28/2007 12:00:00 AM,100.75,N
298,DS,3/13/2007 12:00:00 AM,101.125,N
100287,,,100.25,N
299,DS,2/28/2007 12:00:00 AM,100.375,N
100288,DS,02/07/2007 0:00,100.375,N
300,DS,2/23/2007 12:00:00 AM,101.125,N
100289,DS,1/29/2007 12:00:00 AM,100.125,N
301,DS,2/28/2007 12:00:00 AM,100.625,Y
100290,DS,2/20/2007 12:00:00 AM,99,N
302,DS,2/28/2007 12:00:00 AM,99.875,N
100291,,,100.25,N
